Iteration 00000    Loss 0.215959   PSNR_noisy: 10.777207   PSRN_gt: 10.777207 PSNR_gt_sm: 10.777207
Iteration 00001    Loss 0.090911   PSNR_noisy: 13.340032   PSRN_gt: 13.340032 PSNR_gt_sm: 10.806438
Iteration 00002    Loss 0.137890   PSNR_noisy: 15.098421   PSRN_gt: 15.098421 PSNR_gt_sm: 10.853184
Iteration 00003    Loss 0.058049   PSNR_noisy: 16.702577   PSRN_gt: 16.702577 PSNR_gt_sm: 10.913491
Iteration 00004    Loss 0.039384   PSNR_noisy: 16.627141   PSRN_gt: 16.627141 PSNR_gt_sm: 10.980339
Iteration 00005    Loss 0.024031   PSNR_noisy: 18.355229   PSRN_gt: 18.355229 PSNR_gt_sm: 11.059425
Iteration 00006    Loss 0.022716   PSNR_noisy: 17.993202   PSRN_gt: 17.993202 PSNR_gt_sm: 11.142012
Iteration 00007    Loss 0.019002   PSNR_noisy: 18.681863   PSRN_gt: 18.681863 PSNR_gt_sm: 11.227067
Iteration 00008    Loss 0.017948   PSNR_noisy: 18.908102   PSRN_gt: 18.908102 PSNR_gt_sm: 11.310412
Iteration 00009    Loss 0.017525   PSNR_noisy: 19.047945   PSRN_gt: 19.047945 PSNR_gt_sm: 11.390384
Iteration 00010    Loss 0.015658   PSNR_noisy: 19.610398   PSRN_gt: 19.610398 PSNR_gt_sm: 11.470509
Iteration 00011    Loss 0.014659   PSNR_noisy: 19.781066   PSRN_gt: 19.781066 PSNR_gt_sm: 11.549037
Iteration 00012    Loss 0.014265   PSNR_noisy: 19.717722   PSRN_gt: 19.717722 PSNR_gt_sm: 11.627354
Iteration 00013    Loss 0.014296   PSNR_noisy: 19.607275   PSRN_gt: 19.607275 PSNR_gt_sm: 11.704912
Iteration 00014    Loss 0.014044   PSNR_noisy: 19.701107   PSRN_gt: 19.701107 PSNR_gt_sm: 11.780474
Iteration 00015    Loss 0.013434   PSNR_noisy: 19.855200   PSRN_gt: 19.855200 PSNR_gt_sm: 11.856383
Iteration 00016    Loss 0.013002   PSNR_noisy: 19.941931   PSRN_gt: 19.941931 PSNR_gt_sm: 11.931725
Iteration 00017    Loss 0.012538   PSNR_noisy: 20.085308   PSRN_gt: 20.085308 PSNR_gt_sm: 12.008330
Iteration 00018    Loss 0.012424   PSNR_noisy: 20.071396   PSRN_gt: 20.071396 PSNR_gt_sm: 12.085183
Iteration 00019    Loss 0.011903   PSNR_noisy: 20.258115   PSRN_gt: 20.258115 PSNR_gt_sm: 12.163421
Iteration 00020    Loss 0.011831   PSNR_noisy: 20.279655   PSRN_gt: 20.279655 PSNR_gt_sm: 12.240717
Iteration 00021    Loss 0.011771   PSNR_noisy: 20.309515   PSRN_gt: 20.309515 PSNR_gt_sm: 12.318466
Iteration 00022    Loss 0.011428   PSNR_noisy: 20.424174   PSRN_gt: 20.424174 PSNR_gt_sm: 12.396831
Iteration 00023    Loss 0.011159   PSNR_noisy: 20.514935   PSRN_gt: 20.514935 PSNR_gt_sm: 12.475087
Iteration 00024    Loss 0.010974   PSNR_noisy: 20.582751   PSRN_gt: 20.582751 PSNR_gt_sm: 12.553249
Iteration 00025    Loss 0.010708   PSNR_noisy: 20.700463   PSRN_gt: 20.700463 PSNR_gt_sm: 12.630410
Iteration 00026    Loss 0.010670   PSNR_noisy: 20.744518   PSRN_gt: 20.744518 PSNR_gt_sm: 12.707060
Iteration 00027    Loss 0.010272   PSNR_noisy: 20.908670   PSRN_gt: 20.908670 PSNR_gt_sm: 12.782868
