Iteration 00000    Loss 0.121827   PSNR_noisy: 9.142563   PSRN_gt: 9.142563 PSNR_gt_sm: 9.142563
Iteration 00001    Loss 0.065894   PSNR_noisy: 11.811513   PSRN_gt: 11.811513 PSNR_gt_sm: 9.171262
Iteration 00002    Loss 0.064218   PSNR_noisy: 11.923444   PSRN_gt: 11.923444 PSNR_gt_sm: 9.214274
Iteration 00003    Loss 0.031975   PSNR_noisy: 14.951852   PSRN_gt: 14.951852 PSNR_gt_sm: 9.273330
Iteration 00004    Loss 0.023477   PSNR_noisy: 16.293568   PSRN_gt: 16.293568 PSNR_gt_sm: 9.349483
Iteration 00005    Loss 0.016659   PSNR_noisy: 17.783629   PSRN_gt: 17.783629 PSNR_gt_sm: 9.436128
Iteration 00006    Loss 0.016914   PSNR_noisy: 17.717604   PSRN_gt: 17.717604 PSNR_gt_sm: 9.524593
Iteration 00007    Loss 0.013586   PSNR_noisy: 18.669016   PSRN_gt: 18.669016 PSNR_gt_sm: 9.613806
Iteration 00008    Loss 0.011922   PSNR_noisy: 19.236452   PSRN_gt: 19.236452 PSNR_gt_sm: 9.700160
Iteration 00009    Loss 0.011079   PSNR_noisy: 19.554962   PSRN_gt: 19.554962 PSNR_gt_sm: 9.783908
Iteration 00010    Loss 0.009682   PSNR_noisy: 20.140381   PSRN_gt: 20.140381 PSNR_gt_sm: 9.863307
Iteration 00011    Loss 0.008176   PSNR_noisy: 20.874806   PSRN_gt: 20.874806 PSNR_gt_sm: 9.945057
Iteration 00012    Loss 0.007380   PSNR_noisy: 21.319577   PSRN_gt: 21.319577 PSNR_gt_sm: 10.030154
Iteration 00013    Loss 0.006885   PSNR_noisy: 21.621151   PSRN_gt: 21.621151 PSNR_gt_sm: 10.118041
Iteration 00014    Loss 0.006741   PSNR_noisy: 21.712866   PSRN_gt: 21.712866 PSNR_gt_sm: 10.207440
Iteration 00015    Loss 0.006536   PSNR_noisy: 21.846900   PSRN_gt: 21.846900 PSNR_gt_sm: 10.296447
