Iteration 00000    Loss 0.088319   PSNR_noisy: 10.539439   PSRN_gt: 10.978591 PSNR_gt_sm: 10.978591
Iteration 00001    Loss 0.085541   PSNR_noisy: 10.678280   PSRN_gt: 11.133010 PSNR_gt_sm: 10.988835
Iteration 00002    Loss 0.080346   PSNR_noisy: 10.950339   PSRN_gt: 11.437529 PSNR_gt_sm: 11.002838
Iteration 00003    Loss 0.073930   PSNR_noisy: 11.311769   PSRN_gt: 11.848088 PSNR_gt_sm: 11.020145
Iteration 00004    Loss 0.061314   PSNR_noisy: 12.124418   PSRN_gt: 12.780717 PSNR_gt_sm: 11.043637
Iteration 00005    Loss 0.055474   PSNR_noisy: 12.559114   PSRN_gt: 13.294241 PSNR_gt_sm: 11.071084
Iteration 00006    Loss 0.049699   PSNR_noisy: 13.036515   PSRN_gt: 13.868576 PSNR_gt_sm: 11.103368
Iteration 00007    Loss 0.046336   PSNR_noisy: 13.340809   PSRN_gt: 14.244434 PSNR_gt_sm: 11.138785
Iteration 00008    Loss 0.041909   PSNR_noisy: 13.776950   PSRN_gt: 14.789287 PSNR_gt_sm: 11.178062
Iteration 00009    Loss 0.039104   PSNR_noisy: 14.077792   PSRN_gt: 15.177212 PSNR_gt_sm: 11.220308
Iteration 00010    Loss 0.036383   PSNR_noisy: 14.391048   PSRN_gt: 15.586040 PSNR_gt_sm: 11.264599
Iteration 00011    Loss 0.035056   PSNR_noisy: 14.552437   PSRN_gt: 15.804228 PSNR_gt_sm: 11.310083
Iteration 00012    Loss 0.032522   PSNR_noisy: 14.878232   PSRN_gt: 16.243497 PSNR_gt_sm: 11.357831
Iteration 00013    Loss 0.030524   PSNR_noisy: 15.153617   PSRN_gt: 16.631349 PSNR_gt_sm: 11.407907
Iteration 00014    Loss 0.028974   PSNR_noisy: 15.379935   PSRN_gt: 16.957199 PSNR_gt_sm: 11.460394
Iteration 00015    Loss 0.027199   PSNR_noisy: 15.654438   PSRN_gt: 17.359278 PSNR_gt_sm: 11.515671
Iteration 00016    Loss 0.026055   PSNR_noisy: 15.841155   PSRN_gt: 17.649231 PSNR_gt_sm: 11.573128
Iteration 00017    Loss 0.024881   PSNR_noisy: 16.041394   PSRN_gt: 17.953488 PSNR_gt_sm: 11.632763
Iteration 00018    Loss 0.023861   PSNR_noisy: 16.223043   PSRN_gt: 18.247427 PSNR_gt_sm: 11.694441
Iteration 00019    Loss 0.023696   PSNR_noisy: 16.253292   PSRN_gt: 18.302740 PSNR_gt_sm: 11.757086
Iteration 00020    Loss 0.022723   PSNR_noisy: 16.435345   PSRN_gt: 18.602419 PSNR_gt_sm: 11.821193
Iteration 00021    Loss 0.022353   PSNR_noisy: 16.506607   PSRN_gt: 18.712104 PSNR_gt_sm: 11.886369
Iteration 00022    Loss 0.021608   PSNR_noisy: 16.653872   PSRN_gt: 18.972715 PSNR_gt_sm: 11.953411
Iteration 00023    Loss 0.021517   PSNR_noisy: 16.672214   PSRN_gt: 19.002187 PSNR_gt_sm: 12.021423
