Iteration 00000    Loss 0.216974   PSNR_noisy: 10.318624   PSRN_gt: 10.734959 PSNR_gt_sm: 10.734959
Iteration 00001    Loss 0.117455   PSNR_noisy: 11.952838   PSRN_gt: 12.584671 PSNR_gt_sm: 10.759149
Iteration 00002    Loss 0.137312   PSNR_noisy: 13.048380   PSRN_gt: 13.887434 PSNR_gt_sm: 10.799153
Iteration 00003    Loss 0.063009   PSNR_noisy: 13.999669   PSRN_gt: 15.087130 PSNR_gt_sm: 10.851681
Iteration 00004    Loss 0.053122   PSNR_noisy: 14.360409   PSRN_gt: 15.564577 PSNR_gt_sm: 10.913618
Iteration 00005    Loss 0.047172   PSNR_noisy: 14.494374   PSRN_gt: 15.749188 PSNR_gt_sm: 10.983036
Iteration 00006    Loss 0.044225   PSNR_noisy: 14.576230   PSRN_gt: 15.863803 PSNR_gt_sm: 11.054046
Iteration 00007    Loss 0.041530   PSNR_noisy: 14.744166   PSRN_gt: 16.090186 PSNR_gt_sm: 11.125453
Iteration 00008    Loss 0.038256   PSNR_noisy: 14.908180   PSRN_gt: 16.321514 PSNR_gt_sm: 11.198384
Iteration 00009    Loss 0.036403   PSNR_noisy: 15.020353   PSRN_gt: 16.475777 PSNR_gt_sm: 11.270017
Iteration 00010    Loss 0.035309   PSNR_noisy: 15.117501   PSRN_gt: 16.610788 PSNR_gt_sm: 11.340930
Iteration 00011    Loss 0.033901   PSNR_noisy: 15.297095   PSRN_gt: 16.872405 PSNR_gt_sm: 11.413218
Iteration 00012    Loss 0.034254   PSNR_noisy: 15.235345   PSRN_gt: 16.782211 PSNR_gt_sm: 11.482874
Iteration 00013    Loss 0.032759   PSNR_noisy: 15.423570   PSRN_gt: 17.050351 PSNR_gt_sm: 11.551143
Iteration 00014    Loss 0.032485   PSNR_noisy: 15.427405   PSRN_gt: 17.057218 PSNR_gt_sm: 11.619095
Iteration 00015    Loss 0.031943   PSNR_noisy: 15.477067   PSRN_gt: 17.123021 PSNR_gt_sm: 11.684400
Iteration 00016    Loss 0.031225   PSNR_noisy: 15.580750   PSRN_gt: 17.276301 PSNR_gt_sm: 11.749834
Iteration 00017    Loss 0.030928   PSNR_noisy: 15.620275   PSRN_gt: 17.339834 PSNR_gt_sm: 11.816342
Iteration 00018    Loss 0.030546   PSNR_noisy: 15.667538   PSRN_gt: 17.411495 PSNR_gt_sm: 11.883299
Iteration 00019    Loss 0.030112   PSNR_noisy: 15.724621   PSRN_gt: 17.502475 PSNR_gt_sm: 11.953205
Iteration 00020    Loss 0.029837   PSNR_noisy: 15.790922   PSRN_gt: 17.598029 PSNR_gt_sm: 12.021317
Iteration 00021    Loss 0.029587   PSNR_noisy: 15.809796   PSRN_gt: 17.626235 PSNR_gt_sm: 12.087745
Iteration 00022    Loss 0.028672   PSNR_noisy: 15.975693   PSRN_gt: 17.880493 PSNR_gt_sm: 12.153880
Iteration 00023    Loss 0.028542   PSNR_noisy: 16.010015   PSRN_gt: 17.934035 PSNR_gt_sm: 12.218900
Iteration 00024    Loss 0.028395   PSNR_noisy: 16.034227   PSRN_gt: 17.971565 PSNR_gt_sm: 12.283774
Iteration 00025    Loss 0.027951   PSNR_noisy: 16.127238   PSRN_gt: 18.116881 PSNR_gt_sm: 12.347756
Iteration 00026    Loss 0.028200   PSNR_noisy: 16.106765   PSRN_gt: 18.084964 PSNR_gt_sm: 12.411083
Iteration 00027    Loss 0.027352   PSNR_noisy: 16.228458   PSRN_gt: 18.281896 PSNR_gt_sm: 12.475596
Iteration 00028    Loss 0.027208   PSNR_noisy: 16.257819   PSRN_gt: 18.328017 PSNR_gt_sm: 12.540275
Iteration 00029    Loss 0.027174   PSNR_noisy: 16.260781   PSRN_gt: 18.331582 PSNR_gt_sm: 12.605543
Iteration 00030    Loss 0.026830   PSNR_noisy: 16.309700   PSRN_gt: 18.411237 PSNR_gt_sm: 12.670690
Iteration 00031    Loss 0.026920   PSNR_noisy: 16.285648   PSRN_gt: 18.370583 PSNR_gt_sm: 12.735362
Iteration 00032    Loss 0.026442   PSNR_noisy: 16.384871   PSRN_gt: 18.532081 PSNR_gt_sm: 12.797906
Iteration 00033    Loss 0.026298   PSNR_noisy: 16.419747   PSRN_gt: 18.594691 PSNR_gt_sm: 12.861393
Iteration 00034    Loss 0.026467   PSNR_noisy: 16.404645   PSRN_gt: 18.567116 PSNR_gt_sm: 12.923838
Iteration 00035    Loss 0.026060   PSNR_noisy: 16.465098   PSRN_gt: 18.667545 PSNR_gt_sm: 12.986431
Iteration 00036    Loss 0.025588   PSNR_noisy: 16.595318   PSRN_gt: 18.890709 PSNR_gt_sm: 13.049582
Iteration 00037    Loss 0.025611   PSNR_noisy: 16.598925   PSRN_gt: 18.897560 PSNR_gt_sm: 13.113777
Iteration 00038    Loss 0.025347   PSNR_noisy: 16.646226   PSRN_gt: 18.974243 PSNR_gt_sm: 13.176042
Iteration 00039    Loss 0.025469   PSNR_noisy: 16.627924   PSRN_gt: 18.942060 PSNR_gt_sm: 13.238059
Iteration 00040    Loss 0.025087   PSNR_noisy: 16.696567   PSRN_gt: 19.053863 PSNR_gt_sm: 13.298398
