Iteration 00000    Loss 0.229103   PSNR_noisy: 9.830514   PSRN_gt: 10.198505 PSNR_gt_sm: 10.198505
Iteration 00001    Loss 0.113082   PSNR_noisy: 11.705320   PSRN_gt: 12.301194 PSNR_gt_sm: 10.223714
Iteration 00002    Loss 0.135481   PSNR_noisy: 12.457598   PSRN_gt: 13.183398 PSNR_gt_sm: 10.260617
Iteration 00003    Loss 0.069219   PSNR_noisy: 13.619390   PSRN_gt: 14.609705 PSNR_gt_sm: 10.312950
Iteration 00004    Loss 0.052133   PSNR_noisy: 14.069199   PSRN_gt: 15.194762 PSNR_gt_sm: 10.376888
Iteration 00005    Loss 0.046310   PSNR_noisy: 14.220826   PSRN_gt: 15.404148 PSNR_gt_sm: 10.450153
Iteration 00006    Loss 0.045515   PSNR_noisy: 14.253428   PSRN_gt: 15.454462 PSNR_gt_sm: 10.526762
Iteration 00007    Loss 0.043323   PSNR_noisy: 14.344418   PSRN_gt: 15.579840 PSNR_gt_sm: 10.606843
Iteration 00008    Loss 0.039592   PSNR_noisy: 14.720852   PSRN_gt: 16.086102 PSNR_gt_sm: 10.685087
Iteration 00009    Loss 0.038841   PSNR_noisy: 14.769878   PSRN_gt: 16.152034 PSNR_gt_sm: 10.762296
Iteration 00010    Loss 0.037600   PSNR_noisy: 14.848041   PSRN_gt: 16.258705 PSNR_gt_sm: 10.838099
Iteration 00011    Loss 0.036584   PSNR_noisy: 14.902162   PSRN_gt: 16.330974 PSNR_gt_sm: 10.911511
Iteration 00012    Loss 0.034907   PSNR_noisy: 15.092279   PSRN_gt: 16.596473 PSNR_gt_sm: 10.982597
Iteration 00013    Loss 0.034107   PSNR_noisy: 15.164548   PSRN_gt: 16.699555 PSNR_gt_sm: 11.055467
Iteration 00014    Loss 0.033636   PSNR_noisy: 15.228539   PSRN_gt: 16.788548 PSNR_gt_sm: 11.127087
Iteration 00015    Loss 0.032590   PSNR_noisy: 15.365668   PSRN_gt: 16.988393 PSNR_gt_sm: 11.198493
Iteration 00016    Loss 0.032200   PSNR_noisy: 15.410851   PSRN_gt: 17.053411 PSNR_gt_sm: 11.267659
Iteration 00017    Loss 0.031955   PSNR_noisy: 15.429866   PSRN_gt: 17.078792 PSNR_gt_sm: 11.337514
Iteration 00018    Loss 0.030958   PSNR_noisy: 15.562845   PSRN_gt: 17.271811 PSNR_gt_sm: 11.405636
Iteration 00019    Loss 0.030112   PSNR_noisy: 15.680895   PSRN_gt: 17.448282 PSNR_gt_sm: 11.473807
Iteration 00020    Loss 0.029395   PSNR_noisy: 15.815318   PSRN_gt: 17.649985 PSNR_gt_sm: 11.541059
Iteration 00021    Loss 0.029729   PSNR_noisy: 15.749668   PSRN_gt: 17.551826 PSNR_gt_sm: 11.607162
Iteration 00022    Loss 0.029154   PSNR_noisy: 15.862076   PSRN_gt: 17.719843 PSNR_gt_sm: 11.673169
Iteration 00023    Loss 0.028655   PSNR_noisy: 15.949109   PSRN_gt: 17.853737 PSNR_gt_sm: 11.739735
Iteration 00024    Loss 0.028364   PSNR_noisy: 15.996416   PSRN_gt: 17.925829 PSNR_gt_sm: 11.805520
Iteration 00025    Loss 0.028082   PSNR_noisy: 16.043601   PSRN_gt: 17.996456 PSNR_gt_sm: 11.870683
Iteration 00026    Loss 0.028290   PSNR_noisy: 16.017989   PSRN_gt: 17.954424 PSNR_gt_sm: 11.934730
Iteration 00027    Loss 0.027489   PSNR_noisy: 16.157692   PSRN_gt: 18.178082 PSNR_gt_sm: 11.999348
Iteration 00028    Loss 0.027606   PSNR_noisy: 16.127496   PSRN_gt: 18.127987 PSNR_gt_sm: 12.064075
Iteration 00029    Loss 0.027452   PSNR_noisy: 16.174812   PSRN_gt: 18.202632 PSNR_gt_sm: 12.128933
Iteration 00030    Loss 0.027570   PSNR_noisy: 16.158540   PSRN_gt: 18.179826 PSNR_gt_sm: 12.193289
Iteration 00031    Loss 0.026945   PSNR_noisy: 16.260158   PSRN_gt: 18.341823 PSNR_gt_sm: 12.257328
Iteration 00032    Loss 0.026947   PSNR_noisy: 16.288726   PSRN_gt: 18.385747 PSNR_gt_sm: 12.320679
Iteration 00033    Loss 0.026533   PSNR_noisy: 16.396476   PSRN_gt: 18.562908 PSNR_gt_sm: 12.383204
Iteration 00034    Loss 0.026682   PSNR_noisy: 16.357031   PSRN_gt: 18.499512 PSNR_gt_sm: 12.446745
