Iteration 00000    Loss 0.203380   PSNR_noisy: 6.916912   PSRN_gt: 6.659787 PSNR_gt_sm: 6.659787
Iteration 00001    Loss 0.154584   PSNR_noisy: 8.108350   PSRN_gt: 7.850440 PSNR_gt_sm: 6.675810
Iteration 00002    Loss 0.156422   PSNR_noisy: 8.057018   PSRN_gt: 7.851120 PSNR_gt_sm: 6.700441
Iteration 00003    Loss 0.153585   PSNR_noisy: 8.136524   PSRN_gt: 7.973579 PSNR_gt_sm: 6.729255
Iteration 00004    Loss 0.125808   PSNR_noisy: 9.002901   PSRN_gt: 8.895556 PSNR_gt_sm: 6.771362
Iteration 00005    Loss 0.113732   PSNR_noisy: 9.441187   PSRN_gt: 9.336628 PSNR_gt_sm: 6.816537
Iteration 00006    Loss 0.112270   PSNR_noisy: 9.497370   PSRN_gt: 9.363084 PSNR_gt_sm: 6.858410
Iteration 00007    Loss 0.107232   PSNR_noisy: 9.696760   PSRN_gt: 9.552552 PSNR_gt_sm: 6.900647
Iteration 00008    Loss 0.100551   PSNR_noisy: 9.976145   PSRN_gt: 9.831858 PSNR_gt_sm: 6.944649
Iteration 00009    Loss 0.099451   PSNR_noisy: 10.023903   PSRN_gt: 9.879902 PSNR_gt_sm: 6.988647
Iteration 00010    Loss 0.097202   PSNR_noisy: 10.123226   PSRN_gt: 9.979032 PSNR_gt_sm: 7.032721
Iteration 00011    Loss 0.096245   PSNR_noisy: 10.166237   PSRN_gt: 10.021389 PSNR_gt_sm: 7.076304
Iteration 00012    Loss 0.095827   PSNR_noisy: 10.185113   PSRN_gt: 10.048964 PSNR_gt_sm: 7.120192
Iteration 00013    Loss 0.093256   PSNR_noisy: 10.303255   PSRN_gt: 10.161992 PSNR_gt_sm: 7.163574
Iteration 00014    Loss 0.093306   PSNR_noisy: 10.300903   PSRN_gt: 10.181931 PSNR_gt_sm: 7.208821
Iteration 00015    Loss 0.094202   PSNR_noisy: 10.259403   PSRN_gt: 10.134384 PSNR_gt_sm: 7.253157
Iteration 00016    Loss 0.092817   PSNR_noisy: 10.323704   PSRN_gt: 10.204351 PSNR_gt_sm: 7.297895
Iteration 00017    Loss 0.091112   PSNR_noisy: 10.404267   PSRN_gt: 10.269795 PSNR_gt_sm: 7.341111
Iteration 00018    Loss 0.090529   PSNR_noisy: 10.432123   PSRN_gt: 10.301972 PSNR_gt_sm: 7.384376
Iteration 00019    Loss 0.090184   PSNR_noisy: 10.448695   PSRN_gt: 10.307131 PSNR_gt_sm: 7.426320
Iteration 00020    Loss 0.089805   PSNR_noisy: 10.466983   PSRN_gt: 10.312408 PSNR_gt_sm: 7.466885
Iteration 00021    Loss 0.088105   PSNR_noisy: 10.549997   PSRN_gt: 10.405736 PSNR_gt_sm: 7.508346
Iteration 00022    Loss 0.087418   PSNR_noisy: 10.584010   PSRN_gt: 10.446628 PSNR_gt_sm: 7.550138
Iteration 00023    Loss 0.087371   PSNR_noisy: 10.586312   PSRN_gt: 10.469218 PSNR_gt_sm: 7.593352
Iteration 00024    Loss 0.086012   PSNR_noisy: 10.654430   PSRN_gt: 10.527237 PSNR_gt_sm: 7.635683
Iteration 00025    Loss 0.086574   PSNR_noisy: 10.626101   PSRN_gt: 10.514405 PSNR_gt_sm: 7.678867
Iteration 00026    Loss 0.084342   PSNR_noisy: 10.739586   PSRN_gt: 10.637052 PSNR_gt_sm: 7.722718
Iteration 00027    Loss 0.084171   PSNR_noisy: 10.748387   PSRN_gt: 10.629711 PSNR_gt_sm: 7.764947
Iteration 00028    Loss 0.081994   PSNR_noisy: 10.862190   PSRN_gt: 10.744422 PSNR_gt_sm: 7.807436
Iteration 00029    Loss 0.083569   PSNR_noisy: 10.779529   PSRN_gt: 10.661037 PSNR_gt_sm: 7.848949
Iteration 00030    Loss 0.080336   PSNR_noisy: 10.950921   PSRN_gt: 10.827091 PSNR_gt_sm: 7.890253
