Iteration 00000    Loss 0.162694   PSNR_noisy: 7.886273   PSRN_gt: 7.886273 PSNR_gt_sm: 7.886273
Iteration 00001    Loss 0.153165   PSNR_noisy: 8.148400   PSRN_gt: 8.148400 PSNR_gt_sm: 7.890775
Iteration 00002    Loss 0.163995   PSNR_noisy: 7.851692   PSRN_gt: 7.851692 PSNR_gt_sm: 7.892534
Iteration 00003    Loss 0.146982   PSNR_noisy: 8.327360   PSRN_gt: 8.327360 PSNR_gt_sm: 7.898465
Iteration 00004    Loss 0.138542   PSNR_noisy: 8.584173   PSRN_gt: 8.584173 PSNR_gt_sm: 7.906686
Iteration 00005    Loss 0.135764   PSNR_noisy: 8.672142   PSRN_gt: 8.672142 PSNR_gt_sm: 7.915912
Iteration 00006    Loss 0.129386   PSNR_noisy: 8.881142   PSRN_gt: 8.881142 PSNR_gt_sm: 7.927285
Iteration 00007    Loss 0.123394   PSNR_noisy: 9.087054   PSRN_gt: 9.087054 PSNR_gt_sm: 7.940307
Iteration 00008    Loss 0.115981   PSNR_noisy: 9.356143   PSRN_gt: 9.356143 PSNR_gt_sm: 7.955874
Iteration 00009    Loss 0.115710   PSNR_noisy: 9.366307   PSRN_gt: 9.366307 PSNR_gt_sm: 7.972089
Iteration 00010    Loss 0.108763   PSNR_noisy: 9.635186   PSRN_gt: 9.635186 PSNR_gt_sm: 7.990612
Iteration 00011    Loss 0.106793   PSNR_noisy: 9.714557   PSRN_gt: 9.714557 PSNR_gt_sm: 8.010713
Iteration 00012    Loss 0.102782   PSNR_noisy: 9.880817   PSRN_gt: 9.880817 PSNR_gt_sm: 8.032426
Iteration 00013    Loss 0.099364   PSNR_noisy: 10.027702   PSRN_gt: 10.027702 PSNR_gt_sm: 8.055602
Iteration 00014    Loss 0.096496   PSNR_noisy: 10.154891   PSRN_gt: 10.154891 PSNR_gt_sm: 8.079954
Iteration 00015    Loss 0.097774   PSNR_noisy: 10.097760   PSRN_gt: 10.097760 PSNR_gt_sm: 8.104856
Iteration 00016    Loss 0.087230   PSNR_noisy: 10.593327   PSRN_gt: 10.593327 PSNR_gt_sm: 8.133394
Iteration 00017    Loss 0.087706   PSNR_noisy: 10.569700   PSRN_gt: 10.569700 PSNR_gt_sm: 8.162773
Iteration 00018    Loss 0.089266   PSNR_noisy: 10.493120   PSRN_gt: 10.493120 PSNR_gt_sm: 8.192256
Iteration 00019    Loss 0.084419   PSNR_noisy: 10.735604   PSRN_gt: 10.735604 PSNR_gt_sm: 8.223737
Iteration 00020    Loss 0.085479   PSNR_noisy: 10.681427   PSRN_gt: 10.681427 PSNR_gt_sm: 8.255530
Iteration 00021    Loss 0.087794   PSNR_noisy: 10.565354   PSRN_gt: 10.565354 PSNR_gt_sm: 8.287225
Iteration 00022    Loss 0.079299   PSNR_noisy: 11.007311   PSRN_gt: 11.007311 PSNR_gt_sm: 8.321993
Iteration 00023    Loss 0.075118   PSNR_noisy: 11.242571   PSRN_gt: 11.242571 PSNR_gt_sm: 8.358016
Iteration 00024    Loss 0.075361   PSNR_noisy: 11.228561   PSRN_gt: 11.228561 PSNR_gt_sm: 8.394678
Iteration 00025    Loss 0.074630   PSNR_noisy: 11.270844   PSRN_gt: 11.270844 PSNR_gt_sm: 8.431959
Iteration 00026    Loss 0.079922   PSNR_noisy: 10.973361   PSRN_gt: 10.973361 PSNR_gt_sm: 8.468334
Iteration 00027    Loss 0.071849   PSNR_noisy: 11.435774   PSRN_gt: 11.435774 PSNR_gt_sm: 8.506533
Iteration 00028    Loss 0.069349   PSNR_noisy: 11.589583   PSRN_gt: 11.589583 PSNR_gt_sm: 8.544459
Iteration 00029    Loss 0.076485   PSNR_noisy: 11.164237   PSRN_gt: 11.164237 PSNR_gt_sm: 8.581593
Iteration 00030    Loss 0.067311   PSNR_noisy: 11.719127   PSRN_gt: 11.719127 PSNR_gt_sm: 8.622061
Iteration 00031    Loss 0.062291   PSNR_noisy: 12.055782   PSRN_gt: 12.055782 PSNR_gt_sm: 8.663432
Iteration 00032    Loss 0.075461   PSNR_noisy: 11.222797   PSRN_gt: 11.222797 PSNR_gt_sm: 8.702364
Iteration 00033    Loss 0.065487   PSNR_noisy: 11.838466   PSRN_gt: 11.838466 PSNR_gt_sm: 8.743901
Iteration 00034    Loss 0.064052   PSNR_noisy: 11.934645   PSRN_gt: 11.934645 PSNR_gt_sm: 8.786437
Iteration 00035    Loss 0.061039   PSNR_noisy: 12.143940   PSRN_gt: 12.143940 PSNR_gt_sm: 8.830013
Iteration 00036    Loss 0.065424   PSNR_noisy: 11.842620   PSRN_gt: 11.842620 PSNR_gt_sm: 8.871725
Iteration 00037    Loss 0.058767   PSNR_noisy: 12.308631   PSRN_gt: 12.308631 PSNR_gt_sm: 8.916462
Iteration 00038    Loss 0.066254   PSNR_noisy: 11.787853   PSRN_gt: 11.787853 PSNR_gt_sm: 8.959886
Iteration 00039    Loss 0.058847   PSNR_noisy: 12.302723   PSRN_gt: 12.302723 PSNR_gt_sm: 9.006409
Iteration 00040    Loss 0.059660   PSNR_noisy: 12.243154   PSRN_gt: 12.243154 PSNR_gt_sm: 9.050792
Iteration 00041    Loss 0.058593   PSNR_noisy: 12.321578   PSRN_gt: 12.321578 PSNR_gt_sm: 9.095352
Iteration 00042    Loss 0.054223   PSNR_noisy: 12.658127   PSRN_gt: 12.658127 PSNR_gt_sm: 9.141508
Iteration 00043    Loss 0.056040   PSNR_noisy: 12.515040   PSRN_gt: 12.515040 PSNR_gt_sm: 9.186398
Iteration 00044    Loss 0.058989   PSNR_noisy: 12.292319   PSRN_gt: 12.292319 PSNR_gt_sm: 9.230755
Iteration 00045    Loss 0.056177   PSNR_noisy: 12.504390   PSRN_gt: 12.504390 PSNR_gt_sm: 9.276574
Iteration 00046    Loss 0.055760   PSNR_noisy: 12.536763   PSRN_gt: 12.536763 PSNR_gt_sm: 9.322531
Iteration 00047    Loss 0.053244   PSNR_noisy: 12.737253   PSRN_gt: 12.737253 PSNR_gt_sm: 9.369460
Iteration 00048    Loss 0.063017   PSNR_noisy: 12.005441   PSRN_gt: 12.005441 PSNR_gt_sm: 9.411792
Iteration 00049    Loss 0.055814   PSNR_noisy: 12.532531   PSRN_gt: 12.532531 PSNR_gt_sm: 9.454217
Iteration 00050    Loss 0.056185   PSNR_noisy: 12.503812   PSRN_gt: 12.503812 PSNR_gt_sm: 9.496894
Iteration 00051    Loss 0.050885   PSNR_noisy: 12.934126   PSRN_gt: 12.934126 PSNR_gt_sm: 9.542303
Iteration 00052    Loss 0.052256   PSNR_noisy: 12.818623   PSRN_gt: 12.818623 PSNR_gt_sm: 9.587434
Iteration 00053    Loss 0.055686   PSNR_noisy: 12.542513   PSRN_gt: 12.542513 PSNR_gt_sm: 9.631399
Iteration 00054    Loss 0.058230   PSNR_noisy: 12.348503   PSRN_gt: 12.348503 PSNR_gt_sm: 9.673224
Iteration 00055    Loss 0.057525   PSNR_noisy: 12.401423   PSRN_gt: 12.401423 PSNR_gt_sm: 9.714594
Iteration 00056    Loss 0.050388   PSNR_noisy: 12.976694   PSRN_gt: 12.976694 PSNR_gt_sm: 9.758735
Iteration 00057    Loss 0.055872   PSNR_noisy: 12.528091   PSRN_gt: 12.528091 PSNR_gt_sm: 9.799267
Iteration 00058    Loss 0.053179   PSNR_noisy: 12.742576   PSRN_gt: 12.742576 PSNR_gt_sm: 9.841561
Iteration 00059    Loss 0.047130   PSNR_noisy: 13.267030   PSRN_gt: 13.267030 PSNR_gt_sm: 9.886047
Iteration 00060    Loss 0.047776   PSNR_noisy: 13.207870   PSRN_gt: 13.207870 PSNR_gt_sm: 9.930898
Iteration 00061    Loss 0.047897   PSNR_noisy: 13.196940   PSRN_gt: 13.196940 PSNR_gt_sm: 9.975989
Iteration 00062    Loss 0.056739   PSNR_noisy: 12.461148   PSRN_gt: 12.461148 PSNR_gt_sm: 10.017308
Iteration 00063    Loss 0.051657   PSNR_noisy: 12.868719   PSRN_gt: 12.868719 PSNR_gt_sm: 10.060009
