Iteration 00000    Loss 0.186102   PSNR_noisy: 7.381426   PSRN_gt: 7.381426 PSNR_gt_sm: 7.381426
Iteration 00001    Loss 0.177049   PSNR_noisy: 7.548365   PSRN_gt: 7.548365 PSNR_gt_sm: 7.385079
Iteration 00002    Loss 0.169397   PSNR_noisy: 7.738661   PSRN_gt: 7.738661 PSNR_gt_sm: 7.390403
Iteration 00003    Loss 0.162350   PSNR_noisy: 7.915074   PSRN_gt: 7.915074 PSNR_gt_sm: 7.397145
Iteration 00004    Loss 0.154382   PSNR_noisy: 8.134124   PSRN_gt: 8.134124 PSNR_gt_sm: 7.405981
Iteration 00005    Loss 0.149725   PSNR_noisy: 8.271337   PSRN_gt: 8.271337 PSNR_gt_sm: 7.416118
Iteration 00006    Loss 0.144007   PSNR_noisy: 8.435885   PSRN_gt: 8.435885 PSNR_gt_sm: 7.427909
Iteration 00007    Loss 0.142470   PSNR_noisy: 8.491153   PSRN_gt: 8.491153 PSNR_gt_sm: 7.440364
Iteration 00008    Loss 0.136518   PSNR_noisy: 8.675440   PSRN_gt: 8.675440 PSNR_gt_sm: 7.454662
Iteration 00009    Loss 0.127720   PSNR_noisy: 8.962263   PSRN_gt: 8.962263 PSNR_gt_sm: 7.471376
Iteration 00010    Loss 0.125589   PSNR_noisy: 9.036479   PSRN_gt: 9.036479 PSNR_gt_sm: 7.488836
Iteration 00011    Loss 0.120811   PSNR_noisy: 9.212593   PSRN_gt: 9.212593 PSNR_gt_sm: 7.507811
Iteration 00012    Loss 0.116397   PSNR_noisy: 9.372837   PSRN_gt: 9.372837 PSNR_gt_sm: 7.528305
Iteration 00013    Loss 0.111912   PSNR_noisy: 9.543196   PSRN_gt: 9.543196 PSNR_gt_sm: 7.550345
Iteration 00014    Loss 0.107162   PSNR_noisy: 9.735250   PSRN_gt: 9.735250 PSNR_gt_sm: 7.574079
Iteration 00015    Loss 0.110162   PSNR_noisy: 9.617209   PSRN_gt: 9.617209 PSNR_gt_sm: 7.597631
Iteration 00016    Loss 0.102103   PSNR_noisy: 9.954563   PSRN_gt: 9.954563 PSNR_gt_sm: 7.623605
Iteration 00017    Loss 0.098485   PSNR_noisy: 10.108588   PSRN_gt: 10.108588 PSNR_gt_sm: 7.650854
Iteration 00018    Loss 0.098089   PSNR_noisy: 10.128010   PSRN_gt: 10.128010 PSNR_gt_sm: 7.678969
Iteration 00019    Loss 0.091312   PSNR_noisy: 10.449006   PSRN_gt: 10.449006 PSNR_gt_sm: 7.709431
Iteration 00020    Loss 0.095115   PSNR_noisy: 10.258928   PSRN_gt: 10.258928 PSNR_gt_sm: 7.739432
Iteration 00021    Loss 0.089964   PSNR_noisy: 10.519412   PSRN_gt: 10.519412 PSNR_gt_sm: 7.771330
Iteration 00022    Loss 0.088922   PSNR_noisy: 10.569089   PSRN_gt: 10.569089 PSNR_gt_sm: 7.804018
Iteration 00023    Loss 0.083755   PSNR_noisy: 10.836579   PSRN_gt: 10.836579 PSNR_gt_sm: 7.838451
Iteration 00024    Loss 0.082603   PSNR_noisy: 10.894972   PSRN_gt: 10.894972 PSNR_gt_sm: 7.873434
Iteration 00025    Loss 0.085494   PSNR_noisy: 10.747779   PSRN_gt: 10.747779 PSNR_gt_sm: 7.908153
Iteration 00026    Loss 0.079358   PSNR_noisy: 11.083115   PSRN_gt: 11.083115 PSNR_gt_sm: 7.945334
Iteration 00027    Loss 0.077951   PSNR_noisy: 11.170965   PSRN_gt: 11.170965 PSNR_gt_sm: 7.983108
Iteration 00028    Loss 0.079796   PSNR_noisy: 11.067763   PSRN_gt: 11.067763 PSNR_gt_sm: 8.020972
Iteration 00029    Loss 0.075826   PSNR_noisy: 11.292769   PSRN_gt: 11.292769 PSNR_gt_sm: 8.060042
