Iteration 00000    Loss 0.058653   PSNR_LR 12.317   PSNR_HR 11.849
Iteration 00001    Loss 0.075968   PSNR_LR 11.194   PSNR_HR 10.849
Iteration 00002    Loss 0.073422   PSNR_LR 11.342   PSNR_HR 10.985
Iteration 00003    Loss 0.081876   PSNR_LR 10.868   PSNR_HR 10.549
Iteration 00004    Loss 0.050868   PSNR_LR 12.936   PSNR_HR 12.453
Iteration 00005    Loss 0.044214   PSNR_LR 13.544   PSNR_HR 12.996
Iteration 00006    Loss 0.041783   PSNR_LR 13.790   PSNR_HR 13.214
Iteration 00007    Loss 0.039518   PSNR_LR 14.032   PSNR_HR 13.427
Iteration 00008    Loss 0.036937   PSNR_LR 14.325   PSNR_HR 13.689
Iteration 00009    Loss 0.035677   PSNR_LR 14.476   PSNR_HR 13.824
Iteration 00010    Loss 0.033124   PSNR_LR 14.799   PSNR_HR 14.104
Iteration 00011    Loss 0.033114   PSNR_LR 14.800   PSNR_HR 14.109
Iteration 00012    Loss 0.032885   PSNR_LR 14.830   PSNR_HR 14.134
Iteration 00013    Loss 0.033279   PSNR_LR 14.778   PSNR_HR 14.092
Iteration 00014    Loss 0.031950   PSNR_LR 14.955   PSNR_HR 14.245
Iteration 00015    Loss 0.032476   PSNR_LR 14.884   PSNR_HR 14.183
Iteration 00016    Loss 0.030470   PSNR_LR 15.161   PSNR_HR 14.419
Iteration 00017    Loss 0.030519   PSNR_LR 15.154   PSNR_HR 14.407
Iteration 00018    Loss 0.029810   PSNR_LR 15.256   PSNR_HR 14.488
Iteration 00019    Loss 0.029692   PSNR_LR 15.274   PSNR_HR 14.502
Iteration 00020    Loss 0.029112   PSNR_LR 15.359   PSNR_HR 14.569
Iteration 00021    Loss 0.028966   PSNR_LR 15.381   PSNR_HR 14.587
Iteration 00022    Loss 0.028869   PSNR_LR 15.396   PSNR_HR 14.603
Iteration 00023    Loss 0.028528   PSNR_LR 15.447   PSNR_HR 14.649
Iteration 00024    Loss 0.028929   PSNR_LR 15.387   PSNR_HR 14.603
Iteration 00025    Loss 0.028619   PSNR_LR 15.433   PSNR_HR 14.643
Iteration 00026    Loss 0.028058   PSNR_LR 15.519   PSNR_HR 14.714
Iteration 00027    Loss 0.027925   PSNR_LR 15.540   PSNR_HR 14.732
Iteration 00028    Loss 0.027634   PSNR_LR 15.586   PSNR_HR 14.767
Iteration 00029    Loss 0.027314   PSNR_LR 15.636   PSNR_HR 14.807
Iteration 00030    Loss 0.027877   PSNR_LR 15.547   PSNR_HR 14.733
Iteration 00031    Loss 0.027330   PSNR_LR 15.634   PSNR_HR 14.806
Iteration 00032    Loss 0.027066   PSNR_LR 15.676   PSNR_HR 14.842
Iteration 00033    Loss 0.026737   PSNR_LR 15.729   PSNR_HR 14.890
Iteration 00034    Loss 0.026527   PSNR_LR 15.763   PSNR_HR 14.920
Iteration 00035    Loss 0.026158   PSNR_LR 15.824   PSNR_HR 14.970
Iteration 00036    Loss 0.026412   PSNR_LR 15.782   PSNR_HR 14.933
Iteration 00037    Loss 0.025983   PSNR_LR 15.853   PSNR_HR 14.989
Iteration 00038    Loss 0.025463   PSNR_LR 15.941   PSNR_HR 15.060
Iteration 00039    Loss 0.025607   PSNR_LR 15.916   PSNR_HR 15.039
Iteration 00040    Loss 0.025623   PSNR_LR 15.914   PSNR_HR 15.036
Iteration 00041    Loss 0.025461   PSNR_LR 15.941   PSNR_HR 15.060
Iteration 00042    Loss 0.025767   PSNR_LR 15.889   PSNR_HR 15.019
Iteration 00043    Loss 0.025482   PSNR_LR 15.938   PSNR_HR 15.062
Iteration 00044    Loss 0.025079   PSNR_LR 16.007   PSNR_HR 15.116
Iteration 00045    Loss 0.025091   PSNR_LR 16.005   PSNR_HR 15.117
Iteration 00046    Loss 0.024878   PSNR_LR 16.042   PSNR_HR 15.147
Iteration 00047    Loss 0.024913   PSNR_LR 16.036   PSNR_HR 15.139
Iteration 00048    Loss 0.024273   PSNR_LR 16.149   PSNR_HR 15.232
Iteration 00049    Loss 0.024637   PSNR_LR 16.084   PSNR_HR 15.179
Iteration 00050    Loss 0.024647   PSNR_LR 16.082   PSNR_HR 15.180
Iteration 00051    Loss 0.024280   PSNR_LR 16.147   PSNR_HR 15.230
Iteration 00052    Loss 0.024274   PSNR_LR 16.149   PSNR_HR 15.228
Iteration 00053    Loss 0.023714   PSNR_LR 16.250   PSNR_HR 15.312
Iteration 00054    Loss 0.024171   PSNR_LR 16.167   PSNR_HR 15.247
Iteration 00055    Loss 0.024390   PSNR_LR 16.128   PSNR_HR 15.218
Iteration 00056    Loss 0.024043   PSNR_LR 16.190   PSNR_HR 15.264
Iteration 00057    Loss 0.023600   PSNR_LR 16.271   PSNR_HR 15.327
Iteration 00058    Loss 0.023722   PSNR_LR 16.248   PSNR_HR 15.309
Iteration 00059    Loss 0.023244   PSNR_LR 16.337   PSNR_HR 15.378
Iteration 00060    Loss 0.023605   PSNR_LR 16.270   PSNR_HR 15.324
Iteration 00061    Loss 0.023586   PSNR_LR 16.273   PSNR_HR 15.327
Iteration 00062    Loss 0.023317   PSNR_LR 16.323   PSNR_HR 15.368
Iteration 00063    Loss 0.022893   PSNR_LR 16.403   PSNR_HR 15.435
Iteration 00064    Loss 0.023161   PSNR_LR 16.352   PSNR_HR 15.397
Iteration 00065    Loss 0.024280   PSNR_LR 16.147   PSNR_HR 15.226
Iteration 00066    Loss 0.023024   PSNR_LR 16.378   PSNR_HR 15.411
Iteration 00067    Loss 0.023072   PSNR_LR 16.369   PSNR_HR 15.399
Iteration 00068    Loss 0.022675   PSNR_LR 16.445   PSNR_HR 15.460
Iteration 00069    Loss 0.022526   PSNR_LR 16.473   PSNR_HR 15.488
Iteration 00070    Loss 0.022474   PSNR_LR 16.483   PSNR_HR 15.499
Iteration 00071    Loss 0.022449   PSNR_LR 16.488   PSNR_HR 15.507
Iteration 00072    Loss 0.021964   PSNR_LR 16.583   PSNR_HR 15.579
Iteration 00073    Loss 0.021895   PSNR_LR 16.597   PSNR_HR 15.583
Iteration 00074    Loss 0.023000   PSNR_LR 16.383   PSNR_HR 15.409
Iteration 00075    Loss 0.021834   PSNR_LR 16.609   PSNR_HR 15.591
Iteration 00076    Loss 0.021757   PSNR_LR 16.624   PSNR_HR 15.610
Iteration 00077    Loss 0.021536   PSNR_LR 16.668   PSNR_HR 15.648
Iteration 00078    Loss 0.021618   PSNR_LR 16.652   PSNR_HR 15.632
Iteration 00079    Loss 0.021201   PSNR_LR 16.736   PSNR_HR 15.696
Iteration 00080    Loss 0.020572   PSNR_LR 16.867   PSNR_HR 15.795
Iteration 00081    Loss 0.020146   PSNR_LR 16.958   PSNR_HR 15.871
Iteration 00082    Loss 0.020398   PSNR_LR 16.904   PSNR_HR 15.827
Iteration 00083    Loss 0.019924   PSNR_LR 17.006   PSNR_HR 15.904
Iteration 00084    Loss 0.020035   PSNR_LR 16.982   PSNR_HR 15.892
Iteration 00085    Loss 0.020288   PSNR_LR 16.928   PSNR_HR 15.852
Iteration 00086    Loss 0.020157   PSNR_LR 16.956   PSNR_HR 15.876
Iteration 00087    Loss 0.018635   PSNR_LR 17.297   PSNR_HR 16.130
Iteration 00088    Loss 0.019240   PSNR_LR 17.158   PSNR_HR 16.011
Iteration 00089    Loss 0.018331   PSNR_LR 17.368   PSNR_HR 16.192
Iteration 00090    Loss 0.018199   PSNR_LR 17.399   PSNR_HR 16.216
Iteration 00091    Loss 0.018546   PSNR_LR 17.317   PSNR_HR 16.155
Iteration 00092    Loss 0.018216   PSNR_LR 17.396   PSNR_HR 16.202
Iteration 00093    Loss 0.017421   PSNR_LR 17.589   PSNR_HR 16.357
Iteration 00094    Loss 0.017358   PSNR_LR 17.605   PSNR_HR 16.373
Iteration 00095    Loss 0.017654   PSNR_LR 17.531   PSNR_HR 16.319
Iteration 00096    Loss 0.015415   PSNR_LR 18.121   PSNR_HR 16.774
Iteration 00097    Loss 0.016133   PSNR_LR 17.923   PSNR_HR 16.611
Iteration 00098    Loss 0.015965   PSNR_LR 17.968   PSNR_HR 16.639
Iteration 00099    Loss 0.015913   PSNR_LR 17.983   PSNR_HR 16.657
Iteration 00100    Loss 0.015233   PSNR_LR 18.172   PSNR_HR 16.810
Iteration 00101    Loss 0.014460   PSNR_LR 18.398   PSNR_HR 16.985
Iteration 00102    Loss 0.014001   PSNR_LR 18.538   PSNR_HR 17.076
Iteration 00103    Loss 0.014644   PSNR_LR 18.343   PSNR_HR 16.937
Iteration 00104    Loss 0.013704   PSNR_LR 18.631   PSNR_HR 17.146
Iteration 00105    Loss 0.012866   PSNR_LR 18.906   PSNR_HR 17.361
Iteration 00106    Loss 0.013244   PSNR_LR 18.780   PSNR_HR 17.271
Iteration 00107    Loss 0.012441   PSNR_LR 19.052   PSNR_HR 17.454
Iteration 00108    Loss 0.012767   PSNR_LR 18.939   PSNR_HR 17.362
Iteration 00109    Loss 0.012379   PSNR_LR 19.073   PSNR_HR 17.468
Iteration 00110    Loss 0.012605   PSNR_LR 18.995   PSNR_HR 17.419
Iteration 00111    Loss 0.011876   PSNR_LR 19.253   PSNR_HR 17.618
Iteration 00112    Loss 0.011918   PSNR_LR 19.238   PSNR_HR 17.592
Iteration 00113    Loss 0.011313   PSNR_LR 19.464   PSNR_HR 17.784
Iteration 00114    Loss 0.011225   PSNR_LR 19.498   PSNR_HR 17.804
Iteration 00115    Loss 0.010871   PSNR_LR 19.637   PSNR_HR 17.892
Iteration 00116    Loss 0.011177   PSNR_LR 19.517   PSNR_HR 17.806
Iteration 00117    Loss 0.010468   PSNR_LR 19.801   PSNR_HR 18.016
Iteration 00118    Loss 0.010618   PSNR_LR 19.739   PSNR_HR 17.984
Iteration 00119    Loss 0.010190   PSNR_LR 19.918   PSNR_HR 18.107
Iteration 00120    Loss 0.010206   PSNR_LR 19.911   PSNR_HR 18.082
Iteration 00121    Loss 0.010119   PSNR_LR 19.948   PSNR_HR 18.103
Iteration 00122    Loss 0.009761   PSNR_LR 20.105   PSNR_HR 18.237
Iteration 00123    Loss 0.009867   PSNR_LR 20.058   PSNR_HR 18.192
Iteration 00124    Loss 0.009400   PSNR_LR 20.269   PSNR_HR 18.319
Iteration 00125    Loss 0.009736   PSNR_LR 20.116   PSNR_HR 18.240
Iteration 00126    Loss 0.009494   PSNR_LR 20.226   PSNR_HR 18.303
Iteration 00127    Loss 0.009658   PSNR_LR 20.151   PSNR_HR 18.258
Iteration 00128    Loss 0.009401   PSNR_LR 20.268   PSNR_HR 18.365
Iteration 00129    Loss 0.009330   PSNR_LR 20.301   PSNR_HR 18.379
Iteration 00130    Loss 0.009206   PSNR_LR 20.360   PSNR_HR 18.383
Iteration 00131    Loss 0.009244   PSNR_LR 20.341   PSNR_HR 18.375
Iteration 00132    Loss 0.009222   PSNR_LR 20.352   PSNR_HR 18.410
Iteration 00133    Loss 0.008999   PSNR_LR 20.458   PSNR_HR 18.527
Iteration 00134    Loss 0.008955   PSNR_LR 20.480   PSNR_HR 18.525
Iteration 00135    Loss 0.009057   PSNR_LR 20.430   PSNR_HR 18.468
Iteration 00136    Loss 0.008568   PSNR_LR 20.671   PSNR_HR 18.608
Iteration 00137    Loss 0.008985   PSNR_LR 20.465   PSNR_HR 18.492
Iteration 00138    Loss 0.008573   PSNR_LR 20.669   PSNR_HR 18.643
Iteration 00139    Loss 0.008522   PSNR_LR 20.695   PSNR_HR 18.653
Iteration 00140    Loss 0.008797   PSNR_LR 20.557   PSNR_HR 18.569
Iteration 00141    Loss 0.008231   PSNR_LR 20.845   PSNR_HR 18.756
Iteration 00142    Loss 0.008352   PSNR_LR 20.782   PSNR_HR 18.687
Iteration 00143    Loss 0.008394   PSNR_LR 20.760   PSNR_HR 18.680
Iteration 00144    Loss 0.008071   PSNR_LR 20.931   PSNR_HR 18.816
Iteration 00145    Loss 0.008002   PSNR_LR 20.968   PSNR_HR 18.859
Iteration 00146    Loss 0.008071   PSNR_LR 20.931   PSNR_HR 18.824
Iteration 00147    Loss 0.007924   PSNR_LR 21.011   PSNR_HR 18.865
Iteration 00148    Loss 0.007674   PSNR_LR 21.150   PSNR_HR 18.958
Iteration 00149    Loss 0.007724   PSNR_LR 21.122   PSNR_HR 18.932
Iteration 00150    Loss 0.007533   PSNR_LR 21.230   PSNR_HR 19.000
Iteration 00151    Loss 0.007482   PSNR_LR 21.260   PSNR_HR 19.021
Iteration 00152    Loss 0.007726   PSNR_LR 21.121   PSNR_HR 18.944
Iteration 00153    Loss 0.007433   PSNR_LR 21.288   PSNR_HR 19.044
Iteration 00154    Loss 0.007297   PSNR_LR 21.369   PSNR_HR 19.125
Iteration 00155    Loss 0.007388   PSNR_LR 21.314   PSNR_HR 19.074
Iteration 00156    Loss 0.007354   PSNR_LR 21.335   PSNR_HR 19.108
Iteration 00157    Loss 0.007140   PSNR_LR 21.463   PSNR_HR 19.170
Iteration 00158    Loss 0.007339   PSNR_LR 21.343   PSNR_HR 19.071
Iteration 00159    Loss 0.007093   PSNR_LR 21.492   PSNR_HR 19.158
Iteration 00160    Loss 0.006927   PSNR_LR 21.595   PSNR_HR 19.262
Iteration 00161    Loss 0.006945   PSNR_LR 21.583   PSNR_HR 19.259
Iteration 00162    Loss 0.007042   PSNR_LR 21.523   PSNR_HR 19.255
Iteration 00163    Loss 0.006848   PSNR_LR 21.644   PSNR_HR 19.297
Iteration 00164    Loss 0.007025   PSNR_LR 21.534   PSNR_HR 19.252
Iteration 00165    Loss 0.006948   PSNR_LR 21.581   PSNR_HR 19.245
Iteration 00166    Loss 0.006915   PSNR_LR 21.602   PSNR_HR 19.274
Iteration 00167    Loss 0.006903   PSNR_LR 21.610   PSNR_HR 19.288
Iteration 00168    Loss 0.007144   PSNR_LR 21.460   PSNR_HR 19.202
Iteration 00169    Loss 0.006857   PSNR_LR 21.639   PSNR_HR 19.318
Iteration 00170    Loss 0.007076   PSNR_LR 21.502   PSNR_HR 19.196
Iteration 00171    Loss 0.006680   PSNR_LR 21.753   PSNR_HR 19.339
Iteration 00172    Loss 0.006808   PSNR_LR 21.670   PSNR_HR 19.283
Iteration 00173    Loss 0.006802   PSNR_LR 21.674   PSNR_HR 19.306
Iteration 00174    Loss 0.006784   PSNR_LR 21.685   PSNR_HR 19.310
Iteration 00175    Loss 0.006688   PSNR_LR 21.747   PSNR_HR 19.382
Iteration 00176    Loss 0.006723   PSNR_LR 21.724   PSNR_HR 19.388
Iteration 00177    Loss 0.006371   PSNR_LR 21.958   PSNR_HR 19.537
Iteration 00178    Loss 0.006485   PSNR_LR 21.881   PSNR_HR 19.464
Iteration 00179    Loss 0.006598   PSNR_LR 21.806   PSNR_HR 19.404
Iteration 00180    Loss 0.006294   PSNR_LR 22.010   PSNR_HR 19.562
Iteration 00181    Loss 0.006226   PSNR_LR 22.058   PSNR_HR 19.569
Iteration 00182    Loss 0.006203   PSNR_LR 22.074   PSNR_HR 19.585
Iteration 00183    Loss 0.006303   PSNR_LR 22.004   PSNR_HR 19.534
Iteration 00184    Loss 0.006126   PSNR_LR 22.128   PSNR_HR 19.630
Iteration 00185    Loss 0.006055   PSNR_LR 22.179   PSNR_HR 19.657
Iteration 00186    Loss 0.006350   PSNR_LR 21.972   PSNR_HR 19.514
Iteration 00187    Loss 0.006198   PSNR_LR 22.077   PSNR_HR 19.559
Iteration 00188    Loss 0.006132   PSNR_LR 22.124   PSNR_HR 19.610
Iteration 00189    Loss 0.006031   PSNR_LR 22.196   PSNR_HR 19.679
Iteration 00190    Loss 0.006173   PSNR_LR 22.095   PSNR_HR 19.616
Iteration 00191    Loss 0.006236   PSNR_LR 22.051   PSNR_HR 19.581
Iteration 00192    Loss 0.005867   PSNR_LR 22.316   PSNR_HR 19.767
Iteration 00193    Loss 0.005989   PSNR_LR 22.227   PSNR_HR 19.716
Iteration 00194    Loss 0.005967   PSNR_LR 22.243   PSNR_HR 19.712
Iteration 00195    Loss 0.006009   PSNR_LR 22.212   PSNR_HR 19.678
Iteration 00196    Loss 0.005791   PSNR_LR 22.372   PSNR_HR 19.809
Iteration 00197    Loss 0.006043   PSNR_LR 22.187   PSNR_HR 19.650
Iteration 00198    Loss 0.005836   PSNR_LR 22.339   PSNR_HR 19.764
Iteration 00199    Loss 0.005804   PSNR_LR 22.363   PSNR_HR 19.791
Iteration 00200    Loss 0.005954   PSNR_LR 22.252   PSNR_HR 19.687
Iteration 00201    Loss 0.005716   PSNR_LR 22.429   PSNR_HR 19.797
Iteration 00202    Loss 0.005719   PSNR_LR 22.427   PSNR_HR 19.826
Iteration 00203    Loss 0.005705   PSNR_LR 22.437   PSNR_HR 19.853
